pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,821.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,824.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,836.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,843.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,835.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,821.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,820.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,821.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,824.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,836.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,842.12
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,836.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,823.85
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,820.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,823.99
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,828.45
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,836.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,841.26
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,836.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,826.55
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,827.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,826.15
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,832.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,840.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,841.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,836.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,827.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,826.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,827.0
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,833.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,842.28
